idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
965048853,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
95614117X,"Delius, Friedrich Christian",1943-02-13,2022-05-30,Rom,Berlin,Schriftsteller; Germanist; Literaturwissenschaftler; Lektor <Verlag>; Schriftsteller,118924389
957146884,"Fariborz, Arian",1969,,Hamburg,,Publizist,121285650
954488563,"Agnoli, Johannes",1925-02-25,2003-05-04,Valle di Cadore,Lucca,Politologe; Hochschullehrer,119241323
953234355,"Jaeggi, Urs",1931-06-23,2021-02-13,Solothurn,Berlin,Soziologe; Schriftsteller; Maler; Bildhauer; Musiker; Sänger; Bankkaufmann; Hochschullehrer,119011905
954690133,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
95285726X,"Uesseler, Rolf",1943,2012,Dortmund,Rom,Drehbuchautor,109144465
953556751,"Timm, Uwe",1940-03-30,,Hamburg,,Schriftsteller; Lyriker; Drehbuchautor,118839276
1192025571,"Mattes, Peter",1939,,Mannheim,,Psychologe; Hochschullehrer,1214467822
1191650294,"Mattes, Peter",1939,,Mannheim,,Psychologe; Hochschullehrer,1214467822
953388204,"Ali, Tariq",1943-10-31,,Lahore,,Schriftsteller; Filmproduzent,120088800
951540645,"Delius, Friedrich Christian",1943-02-13,2022-05-30,Rom,Berlin,Schriftsteller; Germanist; Literaturwissenschaftler; Lektor <Verlag>; Schriftsteller,118924389
950566497,"Bude, Heinz",1954,,Wuppertal,,Soziologe; Hochschullehrer,122461029
95214395X,"Katz, Casimir",1925-09-07,2008-03-21,Lübeck,,Unternehmer,133085333
952167239,"Elhardt, Rudolf",1947,,Grünwald (München),,Lehrer; Politiker; Sachbuchautor,114175209
946396396,"Juchler, Ingo",1962,,Mannheim,,Politologe; Hochschullehrer,112787061
946755590,"Lodge, David",1935,,London,,Schriftsteller; Literaturwissenschaftler,118915185
942887727,"Bude, Heinz",1954,,Wuppertal,,Soziologe; Hochschullehrer,122461029
946608563,"Bude, Heinz",1954,,Wuppertal,,Soziologe; Hochschullehrer,122461029
946198977,"Vesper, Bernward",1938-08-01,1971-05-15,Frankfurt (Oder),Hamburg,Schriftsteller; Verleger; Übersetzer,118626728
953427102,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
943733251,"Lodge, David",1935,,London,,Schriftsteller; Literaturwissenschaftler,118915185
944042066,"Lodge, David",1935,,London,,Schriftsteller; Literaturwissenschaftler,118915185
942908511,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
945872313,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
931896355,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
953434206,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
941575748,"Hübsch, Hadayatullah",1946-01-08,2011-01-04,Chemnitz,Frankfurt am Main,Schriftsteller; Publizist; Imam,119057255
930073231,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
920055737,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
920199291,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
921089546,"Dutschke, Rudi",1940-03-07,1979-12-24,Schönefeld (Luckenwalde),Aarhus,Soziologe; Marxist; Schriftsteller; Journalist; Industriekaufmann,118528327
930880544,"Sakson, Andrzej",1952,,Elbląg,,Soziologe; Hochschullehrer,103516271
901379670,"Hildebrandt, Dietrich",1944-12-31,2015-09-17,Luckenwalde,Heidelberg,Abgeordneter,107693577X
920059147,"Baumann, Michael",1948-08-25,2016-07-19,Berlin,Berlin,Schriftsteller; Publizist; Schauspieler,118507516
900835818,"Prinz, Alois",1958,,Wurmannsquick,,Schriftsteller; Journalist,115760318
910207836,"Burisch, Wolfram",1941-01-22,1995-05-18,Berlin,Kassel,Soziologe; Soziologe; Hochschullehrer,121520609
1198109599,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
890937362,"Horx, Matthias",1955,,Düsseldorf,,Soziologe; Journalist; Publizist; Sachbuchautor; Unternehmensberater,120530716
890897689,"Juchler, Ingo",1962,,Mannheim,,Politologe; Hochschullehrer,112787061
880659068,"Bieling, Rainer",1950,,Berlin-Schöneberg,,Journalist; Publizist,1217620273
881473855,"Pevny, Wilhelm",1944,,Wallersdorf,,Schriftsteller; Drehbuchautor; Regisseur,108109941
881105554,"Mosler, Peter",1944,2023,München,,Schriftsteller,137073682
880248777,"Brandes, Volkhard",1939-06-26,2020-05-05,Lemgo,Berlin,Verleger; Lektor <Verlag>; Sozialwissenschaftler,118832905
1192182693,"Leithäuser, Thomas",1939,,Gießen,,Soziologe; Psychologe,unknown
881500127,"Speiser, Wolfgang",1909-09-20,1994-05-27,Wien,Wien,Jurist; Direktor,117482927
943404800,"Veen, Hans-Joachim",1944,,Straßburg,,Politologe,107921766
860117510,"Grob, Marion",1969,,Füssen,,,unknown
1192020529,"Mattes, Peter",1939,,Mannheim,,Psychologe; Hochschullehrer,1214467822
850780357,"Révész, László",1916-08-10,1999-11-10,Kecskemét,Bern,Jurist; Historiker,137536054
1191569411,"Hollstein, Walter",1939,,Osnabrück,,Soziologe; Hochschullehrer; Journalist,unknown
901066281,"Becker, Winfried",1941,,Merzig (Saar),,Historiker; Hochschullehrer,130533092
830753702,"Dutschke, Rudi",1940-03-07,1979-12-24,Schönefeld (Luckenwalde),Aarhus,Soziologe; Marxist; Schriftsteller; Journalist; Industriekaufmann,118528327
831015462,"Lampe, Gerhard",1950,,"Enkhausen (Sundern, Sauerland)",,Medienwissenschaftler; Filmregisseur,142033642
821094041,"Holthusen, Hans Egon",1913-04-15,1997-01-21,Rendsburg,München,Schriftsteller; Lyriker; Literaturwissenschaftler; Essayist; Kunstkritiker; Lektor <Hochschule>; Hochschullehrer,118706675
820417467,"Mosler, Peter",1944,2023,München,,Schriftsteller,137073682
830109242,"Pasolini, Pier Paolo",1922-03-05,1975-11-01,Bologna,Ostia Antica,Schriftsteller; Publizist; Philologe; Dramaturg; Librettist; Theaterregisseur; Filmregisseur,118591908
810347202,"Habermas, Jürgen",1929-06-18,,Düsseldorf,,Philosoph; Soziologe; Hochschullehrer,118544209
810453754,"Diederich, Ellen",1944,,Dortmund,,Friedensaktivistin; Feministin,118525298
840264844,"Schoeps, Hans-Joachim",1909-01-30,1980-07-08,Berlin,Erlangen,Theologe; Philosoph; Religionswissenschaftler; Historiker,118758985
801008247,"Meng, Richard",1954,,Gelnhausen,,Sozialwissenschaftler; Journalist; Publizist; Redakteur; Korrespondent; Hochschullehrer,1049615581
800147162,"Lehnardt, Karl-Heinz",1949-10-30,,Duisburg,,Sozialwissenschaftler,108975088
810117746,"Lehnardt, Karl-Heinz",1949-10-30,,Duisburg,,Sozialwissenschaftler,108975088
1186849568,"Reuband, Karl-Heinz",1946,,Hamburg,,Soziologe; Hochschullehrer,unknown
971551677,"Mehnert, Klaus",1906-10-10,1984-01-02,Moskau,Freudenstadt,Publizist; Journalist,118579959
800223152,"Marks, Stephan",1951,,Berlin,,Sozialwissenschaftler; Supervisor; Sachbuchautor,121281000
1008947539,"Mehnert, Klaus",1906-10-10,1984-01-02,Moskau,Freudenstadt,Publizist; Journalist,118579959
780013352,"Gamarra-Romero, Juan-Manuel",1946,,Chiclayo,,,1063826047
770690254,"Voss, Friedrich",1931-02-01,2012-07-27,Düsseldorf,,Jurist; Politiker; Parlamentarischer Staatssekretär,122384156
1196006199,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
1204826145,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
481915435,"Kiss, Gábor",1931,1994,Budapest,Dortmund,Soziologe,172187400
580410420,"Köberle, Adolf",1898-07-03,1990-03-23,Bad Berneck i. Fichtelgebirge,München,Hochschullehrer; Evangelischer Theologe,118564161
362875375,"Thadden-Trieglaff, Reinold von",1891-08-13,1976,Mohrungen,,Jurist,118642723
36288059X,"Thielicke, Helmut",1908-12-04,1986-03-05,Wuppertal-Barmen,Hamburg,Evangelischer Theologe; Sprecher; Musiker,118621947
580410412,"Köberle, Adolf",1898-07-03,1990-03-23,Bad Berneck i. Fichtelgebirge,München,Hochschullehrer; Evangelischer Theologe,118564161
362638586,"Schneider, Johannes Ferdinand",1895-09-23,1970-05-22,Stadtoldendorf,Berlin,Evangelischer Theologe; Baptist; Hochschullehrer,1015479332
362088276,"Quervain, Alfred de",1896-09-28,1968-10-30,La Neuveville,Bern,Evangelischer Theologe; Pfarrer,118597310
362611505,"Schlink, Edmund",1903-03-06,1984-05-20,Darmstadt,Heidelberg,Evangelischer Theologe; Hochschullehrer,118759426
58077712X,"Müller, Eberhard",1906-08-22,1989-01-11,Stuttgart,Heidelberg,Evangelischer Theologe; Pfarrer,118737384
362906416,"Trillhaas, Wolfgang",1903-10-31,1995-04-24,Nürnberg,,Theologe; Pfarrer,118623931
580575403,"Lilje, Hanns",1899-08-20,1977-01-06,Hannover,Hannover,Bischof; Evangelischer Theologe; Geistlicher,11872827X
